epoch_index_starting_at_1,value
1,0.6219399869441986
2,0.47821998596191406
3,0.40372002124786377
4,0.35468000173568726
5,0.3222600221633911
6,0.29426002502441406
7,0.267799973487854
8,0.24554002285003662
